Name,Price,Brand
M150 - 2.4 - Smart Camera - Black (Brand Warranty)," 2,250",Qmobile
S5 - Noir - 4.8 - 8 GB HDD - 1 GB RAM - 8 MP Camera - White (Brand Warranty)," 14,900",Qmobile
Bolt T5 - 4 - 512 MB ROM - 256 MB RAM - VGA Camera - Black (Brand Warranty)," 4,200",Qmobile
Noir X40 - 4 - 4GB HDD - 512 MB RAM - 2 MP Camera - Black (Brand Warranty)," 6,990",Qmobile
R990 - Dual Sim - 2.8 - 2MP Camera - Black (Brand Warranty)," 2,950",Qmobile
Power 4 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,520",Qmobile
E995 - Dual Sim - 2.4 - 2 MP Camera - Black (Brand Warranty)," 3,500",Qmobile
T250 - Bolt - Dual Sim - 4.0 - 8 GB - 512 MB RAM - Quad-Core 1.2 GHz - 2 MP Camera - Black (Brand Warranty)," 5,950",Qmobile
T200 - Bolt - Dual Sim - 4.0 - 4 GB - 512 MB RAM - Quad-Core 1.2 GHz - 2 MP Camera - Black (Brand Warranty)," 6,750",Qmobile
L1 - 1.8 - Smart Camera - Black (Brand Warranty)," 1,490",Qmobile
W20 - Dual SIM - 2.4 - VGA Camera - Black (Brand Warranty)," 2,200",Qmobile
Noir S5 - 4.8 - 8GB HDD - 1GB RAM - 8MP Front-Back Camera - Free Selfie Stick - Black-White (Brand Warranty)," 14,290",Qmobile
C10- 2.4 - Smart Camera - Dual Sim - Black (Brand Warranty)," 1,950",Qmobile
X4 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,325",Qmobile
S150 - Dual Sim  - 2.4 - VGA Camera - Silver (Brand Warranty)," 2,350",Qmobile
R100 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,050",Qmobile
X10 - 3.5 HVGA - 4GB HDD - 512MB RAM - 2MP with AF Flash - Black (Brand Warranty)," 4,990",Qmobile
Explorer 3G - 2.8 - Dual SIM - 2MP - Black (Brand Warranty)," 3,785",Qmobile
R700 - Dual Sim - 2.8 - VGA Camera - Grey (Brand Warranty)," 2,400",Qmobile
S1 - 5 - 8GB HDD - 1GB Ram - 5MP - Black (Brand Warranty)," 10,950",Qmobile
