Name,Price,Brand
Tab - X50 - 4G - 8.0 Inches - 1 GB Ram - 8 GB - Quad-core 1.2 GHz - Black," 19,500",Qmobile
Qtab - Q1100 - 3G - 10.1 Inches - 1 GB Ram - 8 GB - Quad-core 1.3 GHz - Black (Brand Warranty)," 15,950",Qmobile
S8-301U - Mediapad M1 - 8.0 Inches - 1 GB RAM - 8GB - 3G - White (Brand Warranty)," 17,675",Huawei
T1 - 701U - 3G - 7 - 8GB HDD - 1GB RAM - 2MP Front-Back Camera - Black (Brand Warranty)," 13,799",Huawei
Mediapad T1 - 10 - 4G - 8 GB - 1 GB RAM - Silver (Brand Warranty) + Huawei AM-10 - Bluetooth Speaker," 31,580",Huawei
S7-721W - Mediapad Youth 2 - 7.0 Inches - 4GB - 1GB RAM - Black Gold (Brand Warranty)," 12,500",Huawei
Mediapad Youth 2 - S7-721W - WiFi - 7.0 Inches - 1 GB Ram - 4 GB - Quad-core 1.2 GHz - Silver (Brand Warranty)," 11,950",Huawei
S7-721W - Mediapad Youth 2 - 7.0 Inches - 4GB - 1GB RAM - Silver (Brand Warranty)," 12,500",Huawei
S7-721G - Mediapad Youth 2 - 2G - 7.0 - 4 GB - 1 GB RAM - Quad-core 1.2 GHz - Silver (Brand Warranty)," 14,000",Huawei
S7-721G - Mediapad Youth 2 - 7.0 Inches - 1GB RAM - 4GB - 2G - Golden (Brand Warranty) with Free Huawei 3000 mAh Power Bank," 14,740",Huawei
S7-721G - Mediapad Youth 2 - 7.0 Inches - 1GB RAM - 4GB - 2G - Silver (Brand Warranty) with Free Huawei 3000 mAh Power Bank," 14,740",Huawei
Mediapad X1 - 7D-501U - 3G - 7.0 Inches - 2 GB Ram - 16 GB - Quad-core 1.6 GHz- Silver (Brand Warranty)," 46,990",Huawei
S7-721G - Mediapad Youth 2 - 7.0 Inches - 1GB RAM - 4GB - 2G - Silver (Brand Warranty)," 13,900",Huawei
Mediapad Youth 2 - S7-721W - WiFi - 7.0 Inches - 1 GB Ram - 4 GB - Quad-core 1.2 GHz - Champagne (Brand Warranty)," 17,000",Huawei
Mediapad 10 Link - S10-231U - 3G - 10.1 Inches - 1 GB Ram - Quad-core 1.2 GHz - Silver (Brand Warranty)," 33,999",Huawei
