id,fielders,kind,player_out,odi_no,check
535,,bowled,557,3543,0
536,591,caught,1532,3543,0
537,1517,caught,591,3543,0
538,1551,1589,run out,791,3543,0
539,1589,caught,606,3543,0
540,2188,caught,464,3543,0
541,,lbw,664,3540,0
542,,bowled,1478,3540,0
543,791,caught,1517,3540,0
544,606,caught,1589,3540,0
545,791,caught,557,3540,0
546,791,240,run out,238,3540,0
547,,bowled,236,3540,0
548,,bowled,1586,3540,0
549,1517,caught,591,3540,0
550,238,caught,606,3540,0
551,1586,caught,464,3540,0
552,,lbw,800,3540,0
553,,bowled,606,3539,0
554,1517,caught,591,3539,0
555,,lbw,800,3539,0
556,236,caught,464,3539,0
557,236,caught,791,3539,0
558,596,caught,1478,3539,0
559,596,caught,1589,3539,0
560,606,caught,1593,3539,0
561,591,caught,557,3539,0
562,464,caught,1517,3539,0
563,1834,caught,1551,3539,0
564,596,caught,238,3539,0
565,,bowled,1586,3539,0
566,596,caught,1567,3539,0
567,247,caught,236,3539,0
568,587,caught,606,3535,0
569,,lbw,591,3535,0
570,1754,caught,800,3535,0
571,224,run out,600,3535,0
572,583,caught,240,3535,0
573,1754,1097,run out,464,3535,0
574,1457,caught,1771,3535,0
575,606,caught,224,3535,0
576,,bowled,587,3535,0
577,1834,caught,1754,3535,0
578,,lbw,1647,3535,0
579,,caught and bowled,1769,3535,0
580,,bowled,583,3535,0
581,800,caught,1097,3535,0
582,,bowled,1775,3535,0
583,,bowled,1767,3535,0
584,,bowled,606,3533,0
585,1647,caught,591,3533,0
586,1769,caught,791,3533,0
587,224,caught,800,3533,0
588,1767,caught,464,3533,0
589,,bowled,240,3533,0
590,224,caught,776,3533,0
591,,bowled,587,3533,0
592,,bowled,224,3533,0
593,,bowled,1771,3533,0
594,464,caught,1767,3533,0
595,800,caught,1754,3533,0
596,600,stumped,583,3533,0
597,,bowled,1769,3533,0
598,606,caught,1647,3533,0
599,776,caught,1775,3533,0
600,,caught and bowled,1752,3533,0
601,606,caught,1647,3531,0
602,,bowled,1771,3531,0
603,606,caught,587,3531,0
604,240,caught,1754,3531,0
605,,bowled,224,3531,0
606,464,caught,583,3531,0
607,1771,1754,1752,run out,591,3531,0
608,1769,caught,464,3531,0
609,1635,caught,791,3531,0
610,,bowled,800,3531,0
611,,bowled,600,3531,0
612,,bowled,606,3531,0
613,1769,caught,776,3531,0
614,,lbw,723,3531,0
615,1775,caught,1785,3531,0
616,,bowled,1457,3531,0
617,1951,caught,646,3559,0
618,,bowled,1860,3559,0
619,,bowled,1897,3559,0
620,1947,caught,1894,3559,0
621,,bowled,245,3559,0
622,,lbw,2189,3559,0
623,,bowled,1881,3559,0
624,,lbw,1870,3559,0
625,,bowled,1234,3559,0
626,1950,caught,244,3559,0
627,2189,caught,1993,3559,0
628,1860,caught,991,3559,0
629,646,caught,2209,3559,0
630,1860,caught,1978,3559,0
631,1897,caught,1951,3559,0
632,,lbw,991,3555,0
633,1860,caught,1993,3555,0
634,1897,caught,599,3555,0
635,245,caught,1978,3555,0
636,1812,caught,1951,3555,0
637,631,caught,2204,3555,0
638,1812,caught,959,3555,0
639,2193,caught,1947,3555,0
640,,lbw,1894,3555,0
641,,bowled,1860,3555,0
642,,bowled,245,3555,0
643,1950,caught,2189,3555,0
644,1951,caught,1897,3555,0
645,959,caught,1812,3555,0
646,2213,caught,631,3555,0
647,2204,1951,run out,2193,3555,0
650,1897,1860,run out,1993,3553,0
651,245,caught,960,3553,0
652,833,caught,991,3553,0
653,1812,caught,1978,3553,0
654,,bowled,1951,3553,0
655,245,caught,2204,3553,0
656,2008,caught,1894,3553,0
657,1951,caught,1860,3553,0
658,1947,caught,245,3553,0
659,1951,stumped,2189,3553,0
660,,lbw,1897,3553,0
661,,bowled,631,3553,0
662,,lbw,2193,3553,0
663,599,caught,1354,3553,0
664,,bowled,1881,3553,0
665,,bowled,244,3553,0
666,1812,run out,1993,3552,0
667,,bowled,1978,3552,0
668,1894,caught,991,3552,0
669,244,caught,2204,3552,0
670,1881,caught,1950,3552,0
671,,lbw,1951,3552,0
672,,bowled,1947,3552,0
673,,bowled,1860,3552,0
674,,bowled,1894,3552,0
675,1950,caught,646,3552,0
676,1950,caught,1897,3552,0
677,1947,caught,631,3552,0
678,2008,caught,2189,3552,0
679,2204,run out,1812,3552,0
680,,bowled,1881,3552,0
681,,bowled,1870,3552,0
682,,bowled,244,3552,0
683,,bowled,1993,3550,0
684,1812,caught,991,3550,0
685,244,caught,1950,3550,0
686,,bowled,960,3550,0
687,1881,caught,1978,3550,0
688,2189,caught,1951,3550,0
689,,bowled,1947,3550,0
690,1951,stumped,646,3550,0
691,661,caught,1894,3550,0
692,,lbw,1860,3550,0
693,,bowled,631,3550,0
694,1951,caught,1897,3550,0
695,2204,caught,1812,3550,0
696,,bowled,2189,3550,0
697,,bowled,1881,3550,0
698,1950,caught,1870,3550,0
699,,bowled,1234,3550,0
700,1897,caught,701,3506,0
701,,lbw,2086,3506,0
702,243,caught,844,3506,0
703,1906,run out,1719,3506,0
704,,caught and bowled,743,3506,0
705,1812,caught,523,3506,0
706,1906,caught,1051,3506,0
707,1897,caught,883,3506,0
708,1905,caught,1663,3506,0
709,1897,caught,1315,3506,0
710,523,caught,631,3506,0
711,1315,caught,1897,3506,0
712,1663,run out,1905,3506,0
713,,bowled,646,3506,0
714,,caught and bowled,1812,3506,0
715,,lbw,1906,3506,0
716,,lbw,245,3506,0
717,883,caught,243,3506,0
718,1663,caught,833,3506,0
719,,bowled,1099,3506,0
720,1719,caught,646,3505,0
721,1719,caught,1860,3505,0
722,1663,run out,1897,3505,0
723,883,caught,1906,3505,0
724,523,caught,1905,3505,0
725,743,caught,245,3505,0
726,,bowled,1098,3505,0
727,2086,run out,1812,3505,0
